design_en,y,id
"Laureate emperor standing right, wearing toga capite velato and City goddess standing facing, head left, wearing mural crown, holding cornucopia in left arm; each holding a patera in outstretched right hand over an agonistic table in the middle, surmounted by prize crown with two palm branches.","[('emperor', 'PERSON', 'wearing', 'toga', 'OBJECT')]",163
"Three nude athletes with bound hair standing around a price urn; the middle figure standing facing, head right, holding an apple in his raised right hand; the figure to left standing left on his tip-toes, head upwards, holding an object in his raised right hand; the figure to right bending right, holding an apple in his right hand.","[('athletes', 'PERSON', 'standing', 'urn', 'OBJECT'), ('athletes', 'PERSON', 'holding', 'apple', 'PLANT'), ('athletes', 'PERSON', 'holding', 'object', 'OBJECT'), ('figure', 'PERSON', 'holding', 'apple', 'PLANT')]",164
"Nike standing facing, holding wreath in right outstretched hand and palm branch in left arm.","[('Nike', 'PERSON', 'holding', 'wreath', 'OBJECT'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",165
"Poseidon standing facing, head left, holding fish in outstretched right hand, left resting on trident.","[('Poseidon', 'PERSON', 'holding', 'fish', 'ANIMAL'), ('Poseidon', 'PERSON', 'resting_on', 'trident', 'OBJECT')]",166
"Poseidon standing left, holding fish in right hand, left resting on trident; right foot on a prow, left.","[('Poseidon', 'PERSON', 'holding', 'fish', 'ANIMAL'), ('Poseidon', 'PERSON', 'resting_on', 'trident', 'OBJECT')]",167
"Poseidon standing right, resting right arm on trident, holding fish in left hand; left foot on a prow, right.","[('Poseidon', 'PERSON', 'resting_on', 'trident', 'OBJECT'), ('Poseidon', 'PERSON', 'holding', 'fish', 'ANIMAL')]",168
"Nude infant Heracles kneeling right, seen from front, strangling a serpent in each hand. Linear border.","[('Heracles', 'PERSON', 'grasping', 'serpent', 'ANIMAL')]",169
"Forepart of a bull standing left on dolphin, left, raising right forehoof.","[('bull', 'ANIMAL', 'standing', 'dolphin', 'ANIMAL')]",170
"Veiled head of Demeter, right, wearing corn wreath, earrings and necklace.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'earrings', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'necklace', 'OBJECT')]",171
"Forepart of a bull standing left on dolphin, left, raising right forehoof; below, monogram.","[('bull', 'ANIMAL', 'standing', 'dolphin', 'ANIMAL')]",172
"Forepart of a bull standing right on dolphin, right, raising left forehoof; below, monogram.","[('bull', 'ANIMAL', 'standing', 'dolphin', 'ANIMAL')]",173
"Nike standing right, holding a wreath over two conjoined foreparts of prancing horses and palm branch in left arm.","[('Nike', 'PERSON', 'holding', 'wreath', 'OBJECT'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",174
"Nike standing right, holding a wreath over two conjoined foreparts of prancing horses and palm branch in left arm; left, monogram.","[('Nike', 'PERSON', 'holding', 'wreath', 'OBJECT'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",175
"Head of (youthful) Dionysus, right, wearing ivy wreath; behind him thyrsus.","[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",176
"Draped bust of Dionysus, right, wearing ivy wreath; in front, filleted thyrsus.","[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",177
"Hera (Samios) standing right on prow, right, holding poppy and ear of grain in outstretched right hand and sceptre in the left hand. Border of dots.","[('Hera', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Hera', 'PERSON', 'holding', 'sceptre', 'OBJECT')]",178
"Draped bust of Dionysus, right, wearing ivy wreath; filleted thyrsus over left shoulder.","[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT')]",179
"Veiled and draped bust of Demeter, right, wearing corn wreath; in front two? ears of corn and a poppy.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')]",180
"Nude bearded Heracles standing left, lion skin draped over back, holding club in raised right hand, pushing the already lying Cerynean hind with his right knee at its back. Ground line.","[('Heracles', 'PERSON', 'holding', 'club', 'OBJECT')]",181
"Head of Heracles, left, wearing taenia and lion skin, knotted around neck. Border of dots.","[('Heracles', 'PERSON', 'wearing', 'taenia', 'OBJECT'), ('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",182
"Nude Apollo standing facing, head left, chlamys over shoulder, holding branch in right hand, left resting on sceptre.","[('Apollo', 'PERSON', 'holding', 'branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'sceptre', 'OBJECT')]",183
"Togate emperor (Nerva) standing left, holding a branch in outstretched right hand and sceptre in left arm. Ground line. Border of dots.","[('Nerva', 'PERSON', 'holding', 'branch', 'OBJECT'), ('Nerva', 'PERSON', 'holding', 'sceptre', 'OBJECT')]",184
"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, head upwards, with raised forepaw, pelleted and filleted thyrsus in left arm; at right, star.","[('Dionysus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')]",185
"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther leaping left, head right; pelleted and filleted thyrsus in left arm; at left, star with six rays.","[('Dionysus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')]",186
"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, pelleted and filleted thyrsus in left arm; at left, star.","[('Dionysus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')]",187
"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over cista mystica with half-open lid on the right, out of which serpent creeps right; pelleted and filleted thyrsus in left arm.","[('Dionysus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')]",188
"Nude Dionysus standing facing, head left, wearing boots, holding patera in outstretched right hand over cista mystica with half-open lid on the right, out of which serpent creeps right; pelleted thyrsus in left arm.","[('Dionysus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'patera', 'OBJECT')]",189
"Aphrodite standing facing, head right, wearing double chiton and epiblema, holding a long sceptre in right and an apple in outstretched left hand. Border of dots.","[('Aphrodite', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Aphrodite', 'PERSON', 'holding', 'sceptre', 'OBJECT')]",190
"Artemis advancing left, wearing short fluttering chiton and boots, holding bow in right hand and drawing arrow from quiver at shoulder with left hand; at her feet, hound running left.","[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')]",191
"Artemis advancing left, wearing short fluttering chiton and boots, outstretching right arm, holding bow in the left; at side, hound running left. Ground line.","[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT')]",192
"At left, emperor (Septimius Severus) standing facing, head right, wearing helmet, cuirass and boots, holding spear in right hand and parazonium in left arm; to right, Nike standing left, holding palm branch in left arm, crowning with laurel wreath in right outstretched arm the emperor. Ground line. Border of dots.","[('Septimius Severus', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Septimius Severus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Septimius Severus', 'PERSON', 'holding', 'parazonium', 'OBJECT'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",193
"At left Hygieia standing facing, head right, feeding serpent held in left arm from patera in outstretched right hand; at left, ibis standing left; at right, Asclepius seen from front, head left, leaning on serpent staff with right hand; between them Telesphorus standing facing. Border of dots.","[('Hygieia', 'PERSON', 'feeding', 'serpent', 'ANIMAL'), ('Asclepius', 'PERSON', 'resting_on', 'serpent staff', 'OBJECT')]",194
"Nude bearded Heracles advancing right, grasping with right hand the horns of the uprising Cretan Bull, strangling it with left arm, lion skin over head. Border of dots.","[('Heracles', 'PERSON', 'grasping', 'Cretan Bull', 'ANIMAL')]",195
"Nude bearded Heracles standing left, wearing lion skin, pushing with right knee the lowered hind quarters of the lying Cerynean hind, holding animal by antlers in both hands; in front of his right foot, club lying to right. Border of dots.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",196
"Turreted Cybele enthroned left, holding patera in outstretched right hand, left arm resting on tympanon; to left Attis, standing facing, head right, wearing Phrygian cap, holding pedum in right hand and palmleaf in left; beside throne, lion seated left. Border of dots.","[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT'), ('Attis', 'PERSON', 'wearing', 'cap', 'OBJECT'), ('Attis', 'PERSON', 'holding', 'pedum', 'OBJECT')]",197
"Nike standing facing, head left, holding cestus in outstretched right hand and palm branch in left arm. Border of dots.","[('Nike', 'PERSON', 'holding', 'cestus', 'OBJECT'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",198
"Emperor (Septimius Severus) in military attire standing facing, head left, wearing cuirass and boots, holding Nike in right hand and spear in left hand; behind him Nike standing facing, head left, wearing long garment, crowning emperor with laurel wreath in right hand, holding palm branch in left arm. Ground line. Border of dots.","[('Septimius Severus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Septimius Severus', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Septimius Severus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Nike', 'PERSON', 'wearing', 'garment', 'OBJECT')]",199
"City gate, flanked by two towers with conical roofs; above, gallery of seven arches; surmounted by nude Poseidon, advancing left, holding trident in outstretched right hand, Hippocampus twining around left arm; mark of value E.","[('Poseidon', 'PERSON', 'holding', 'trident', 'OBJECT'), ('Hippocampus', 'ANIMAL', 'coiling', 'Poseidon', 'PERSON')]",200
"Emperor (Septimius Severus) in military attire standing facing, head left, wearing cuirass and boots, holding patera over lighted and garlanded altar in outstretched right hand, left resting on long sceptre; behind him Nike standing facing, head left, wearing long garment, crowning emperor with laurel wreath in right hand, holding palm branch in left arm. Ground line. Border of dots.","[('Septimius Severus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Septimius Severus', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Nike', 'PERSON', 'wearing', 'garment', 'OBJECT')]",201
"Nude Zeus standing left, head right, cloak over left shoulder, holding patera in outstretched right hand, sceptre in left hand; at his feet, left, eagle standing left, head right, wings closed. Border of dots.","[('Zeus', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Zeus', 'PERSON', 'holding', 'sceptre', 'OBJECT')]",202
"Demeter standing facing, head left, wearing long garment wraped over the shoulders, holding three ears of corn in lowered right hand, left resting on long torch. Ground line. Border of dots.","[('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",203
"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, head upwards, with raised forepaw, pelleted and filleted thyrsus in left arm. Groundline. Border of dots.","[('Dionysus', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')]",204
"Artemis standing facing, head right, wearing long garment and boots, holding bow in left hand and short torch in right hand, at her feet, hound to right. Border of dots.","[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')]",205
"Nude Zeus standing left, head right, cloak over left shoulder, holding patera in outstretched right hand, sceptre in left hand; at his feet, left, eagle standing left, head right, wings half spread.","[('Zeus', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Zeus', 'PERSON', 'holding', 'sceptre', 'OBJECT')]",206
"Nude youthful Heracles standing left, wearing lion skin over right shoulder, grasping with left hand Hydra by her left arm, standing facing in front of him, head right; about to strike with club in right hand over her head. Ground line. Border of dots.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'grasping', 'Hydra', 'ANIMAL')]",207
"Nude bearded Heracles advancing right, lion skin over left shoulder, carying the Erymanthian Boar over left shoulder; at right, Eurystheus standing left in a pithos, begging with raised arms. Ground line. Border of dots.","[('Heracles', 'PERSON', 'holding', 'Erymanthian Boar', 'ANIMAL')]",208
"Nude bearded Heracles advancing left, wearing lion skin over left shoulder; grasping the horns of the fleeing Cretan Bull. Ground line. Border of dots.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",209
"Artemis standing facing, head left, wearing long garment, holding arrow in outstretched right hand and long lighted torch in left arm; at her feet, stag standing left.","[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')]",210
"Nude Heracles standing right, resting right hand on club, lion skin over left arm, holding bow in left arm.","[('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'bow', 'OBJECT')]",211
"Demeter enthroned left, holding two ears of corn in right hand, left resting on long torch. Ground line.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",212
"Turreted Cybele enthroned left (seat with lion feet), holding patera in outstretched right hand, left arm resting on tympanon; beside throne, lion lying to left.","[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT')]",213
"Nude youthful Dionysus standing facing, head left, nebris over left shoulder to right hip, holding cantharus in right hand over panther seated left, head right, and filleted thyrsus in left arm. Ground line. Border of dots.","[('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')]",214
"Emperor (Caracalla) in military attire standing facing, head left, wearing cuirass and boots, holding spear in right hand and parazonium in left hand; behind him, Nike standing left, crowning emperor with laurel wreath in left hand, holding palm branch in left arm. Ground line. Border of dots.","[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'parazonium', 'OBJECT')]",215
"Artemis standing facing, head right, wearing long garment and boots, holding bow in left hand and short torch in right hand, at left side hound to left, head right. Ground line. Border of dots.","[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')]",216
"Nude athlete standing facing, head right, crowning himself with right hand, holding palm branch in left arm. Short ground line. Border of dots.","[('athlete', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",217
"Emperor (Caracalla) in military attire standing facing, head left, wearing cuirass, fluttering paludamentum and boots, holding Nike with laurel wreath in outstretched right hand and eagle-sceptre in left hand. Ground line. Border of dots.","[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'Nike', 'PERSON')]",218
"Nude bearded Heracles advancing left, head right, lion skin over shoulder, drawing arrow with right hand from quiver at back, holding bow in outstretched left hand; at right, three Stymphalian birds falling. Ground line. Border of dots.","[('Heracles', 'PERSON', 'holding', 'arrow', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'bow', 'OBJECT')]",219
"At left, Demeter standing facing, head right, wearing wreath, holding long lit torch in left arm and two ears of corn with right hand over cista mystica on the left with half-open lid, to right, out of which serpent creeps, right; at right, Homonoia with kalathos standing facing, head left, holding a patera in outstretched right hand over lighted and garlanded altar to left and cornucopia in left arm. Ground line. Border of dots.","[('Demeter', 'PERSON', 'wearing', 'wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Homonoia', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'cornucopia', 'OBJECT')]",220
"Veiled Demeter standing facing, head right, holding long torch in right arm and ears of corn in raised left hand. Ground line. Border of dots.","[('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT')]",221
"Nude bearded Heracles advancing right, lion skin over left shoulder, carying the Erymanthian Boar with legs upwards over left shoulder; at right, Eurystheus standing left in a pithos, begging with raised arms. Ground line. Border of dots.","[('Heracles', 'PERSON', 'holding', 'Erymanthian Boar', 'ANIMAL')]",222
"Heracles standing right, wearing lion skin, holding club overhead in raised right hand and grasping with left hand Hippolyte's cloak, kneeling left, head right, raising both hands; in left upper field, horse head. Ground line. Border of dots.","[('Heracles', 'PERSON', 'wearing', 'lion skin', 'OBJECT')]",223
"Nude bearded Heracles standing facing, head left, holding lion skin and club in left arm and pater in right hand over garlanded, covered with fruits altar; eagle flying left over altar, head right. Ground line. Border of dots.","[('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('eagle', 'ANIMAL', 'flying_over', 'altar', 'OBJECT')]",224
"Nude Apollo standing facing, head left, holding laurel branch in right hand over inscribed altar, leaning left arm on tripod with serpent coiling left. Ground line. Border of dots.","[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'tripod', 'OBJECT')]",225
"Nude athlete standing facing, head right, hair bound, holding palm branch over right shoulder with right hand and prize crown in left hand. Short ground line. Border of dots.","[('athlete', 'PERSON', 'holding', 'palm branch', 'OBJECT'), ('athlete', 'PERSON', 'holding', 'prize crown', 'OBJECT')]",226
"Two octastyle temples in perspective facing each other; both on crepidoma; above, two prize urns, each containing two palm branches. Border of dots.","[('urns', 'OBJECT', 'holding', 'branches', 'OBJECT')]",227
"Demeter and Homonoia, clasping right hands over lighted and garlanded altar; to left, veiled Demeter standing right, wearing corn wreath; to right, Homonoia standing facing, head left, wearing kalathos, holding cornucopia in left arm. Ground line. Border of dots.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Homonoia', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'cornucopia', 'OBJECT')]",228
"Radiate and togate emperor (Elagabalus) standing in quadriga, right, wearing toga, holding an aplustre in right hand and sceptre in left arm; in front, charioteer seated right; behind, Nike standing right on chariot basket, crowning emperor with laurel wreath, holding palm branch in left arm; in background, tropaion on dais, on each side a captive seated right and left. Ground line. Border of dots.","[('Elagabalus', 'PERSON', 'standing', 'quadriga', 'OBJECT'), ('Elagabalus', 'PERSON', 'wearing', 'toga', 'OBJECT'), ('Elagabalus', 'PERSON', 'holding', 'aplustre', 'OBJECT'), ('Elagabalus', 'PERSON', 'holding', 'sceptre', 'OBJECT'), ('Nike', 'PERSON', 'standing', 'basket', 'OBJECT'), ('Nike', 'PERSON', 'crowning', 'emperor', 'PERSON'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",229
"Nude bearded Heracles standing facing, head right, lion skin over his left arm, resting right hand on club; at right, serpent (Ladon) coiling around apple tree of the Hesperides; in field above, crescent to left. Ground line. Border of dots.","[('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT')]",230
"Nude bearded Heracles standing facing, head left, holding lion skin and club in left arm and patera in outstretched right hand over lighted and garlanded altar; eagle flying left over altar, head right. Ground line. Border of dots.","[('Heracles', 'PERSON', 'holding', 'lion skin', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'patera', 'OBJECT'), ('eagle', 'ANIMAL', 'flying_over', 'altar', 'OBJECT')]",231
"Nude athlete advancing left, head right, hair bound, holding wreath in outstretched right hand and palm branch in left arm. Short ground line. Border of dots.","[('athlete', 'PERSON', 'holding', 'wreath', 'OBJECT'), ('athlete', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",232
"Emperor (Commodus) riding horse galloping right, wearing fluttering paludamentum, holding spear in left hand. Ground line.","[('Commodus', 'PERSON', 'seated_on', 'horseback', 'ANIMAL'), ('Commodus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Commodus', 'PERSON', 'holding', 'spear', 'OBJECT')]",233
"Emperor (Severus Alexander) in military attire riding right on horseback, covered with panther fur, wearing cuirass, fluttering paludamentum and boots, holding transverse spear in lowered right hand towards a captive in front of him seated left with Phrygian cap and bound arms behind back.","[('Severus Alexander', 'PERSON', 'seated_on', 'horseback', 'ANIMAL'), ('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'spear', 'OBJECT')]",234
"Emperor (Severus Alexander) in military attire riding right on horseback, covered with panther fur, wearing cuirass, fluttering paludamentum and boots, holding transverse spear in right hand.","[('Severus Alexander', 'PERSON', 'seated_on', 'horseback', 'ANIMAL'), ('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'spear', 'OBJECT')]",235
"On left, nude youthful Heros of Perinthus standing right, seen from behind, wearing chlamys over left shoulder, clasping right hands with Heracles standing left, lion skin over left arm, holding club in left hand. Ground line. Border of dots.","[('Heros', 'PERSON', 'wearing', 'chlamys', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT')]",236
"Ariadne and Dionysus; in the front, Ariadne lying left on rock, sleeping with arms behind her head, wearing double chiton, seen from front; at her feet, dog lying left, head right; in the middle, Dionysus standing facing, wearing ivy wreath and nebris over shoulder, holding thyrsus in right hand; left hand over the shoulder of a Silenus, standing facing, pointing at Ariadne with right hand; to right, a second Silenus standing facing, extending hands; to left, horned Pan with goat-legs, bouncing, holding a pedum in left hand,right hand on the shoulder of a silen, standing right, resting both hands on a stock. Border of dots.","[('Ariadne', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT'), ('Pan', 'PERSON', 'holding', 'pedum', 'OBJECT')]",237
"Nemesis (Nike) standing facing, head left, right hand in front of her chest; holding palm branch in left arm; at her feet, wheel.","[('Nemesis', 'PERSON', 'holding', 'palm branch', 'OBJECT'), ('Nike', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",238
"Turreted Cybele seated left, on lion stepping right, holding tympanum in right hand, left resting on long sceptre.","[('Cybele', 'PERSON', 'holding', 'tympanum', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'sceptre', 'OBJECT')]",239
"Nude Apollo standing facing, head left, holding laurel branch in right hand over garlanded altar, which is covered with five apples, leaning left arm on tripod with serpent coiling left. Ground line. Border of dots.","[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'tripod', 'OBJECT')]",240
"Turreted Cybele seated, head right, on lion jumping right, holding tympanum in right hand, left resting on long sceptre.","[('Cybele', 'PERSON', 'holding', 'tympanum', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'sceptre', 'OBJECT')]",241
"Veiled Demeter standing facing, head left, wearing corn wreath and long garment, holding two ears of corn in lowered right hand and sceptre entwined by serpent in left arm.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'sceptre', 'OBJECT')]",242
"Nude Apollo standing facing, head left, holding branch in right hand over lighted altar, leaning left arm on lyre standing on column.","[('Apollo', 'PERSON', 'holding', 'branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'column', 'OBJECT')]",243
"Nude Apollo standing facing, head left, holding branch in right hand, leaning left arm on lyre standing on short column.","[('Apollo', 'PERSON', 'holding', 'branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'column', 'OBJECT')]",244
"Veiled Demeter seated left on basket, wearing stephane and long garment, holding three ears of corn and poppy in lowered right hand and long torch in left.","[('Demeter', 'PERSON', 'wearing', 'stephane', 'OBJECT'), ('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')]",245
"Veiled Demeter enthroned left, wearing long garment, holding three ears of corn and poppy in lowered right hand, left resting on long torch. Border of dots.","[('Demeter', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')]",246
"Nude Dionysus standing facing, head left, holding cantharus in right hand over a panther seated left, head right, with raised forepaw, pelleted and filleted thyrsus in left arm.","[('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')]",247
"Athena standing facing, head with helmet to the left, holding patera in outstretched right hand and lance in left hand; at her feet, shield; in front of her, olive tree, entwined by serpent; monogram E in left field.","[('Athena', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'lance', 'OBJECT')]",248
"Nude Heracles standing right, resting right hand on club, lion skin over left arm, holding bow in left arm. In left field, E.","[('Heracles', 'PERSON', 'resting_on', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'bow', 'OBJECT')]",249
"Artemis advancing right, wearing short fluttering chiton, fluttering cloak and boots, holding bow in left hand and drawing arrow from quiver at shoulder with right hand; at her feet, hound running right. Ground line. Border of dots.","[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'cloak', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')]",250
"Nude athlete standing facing, head right, crowning himself with right hand, holding palm branch in left arm. Border of dots.","[('athlete', 'PERSON', 'holding', 'palm branch', 'OBJECT')]",251
